,Date,positive_IP_count,pos_discharged_count,pos_deceased_count,current_vent,current_icu,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,2020-03-11,0,0,0.0,0,0,0,0,0
1,2020-03-12,0,0,0.0,0,0,0,0,0
2,2020-03-13,0,0,0.0,0,0,0,0,0
3,2020-03-14,0,0,0.0,0,0,0,0,0
4,2020-03-15,0,0,0.0,0,0,0,0,0
5,2020-03-16,0,0,0.0,0,0,0,0,0
6,2020-03-17,2,0,0.0,0,0,2,0,2
7,2020-03-18,1,0,0.0,0,0,3,0,3
8,2020-03-19,6,1,0.0,0,0,9,1,8
9,2020-03-20,3,1,0.0,0,0,12,2,10
10,2020-03-21,4,1,0.0,0,0,16,3,13
11,2020-03-22,6,7,0.0,0,0,22,10,12
12,2020-03-23,6,2,0.0,0,0,28,12,16
13,2020-03-24,6,3,0.0,0,0,34,15,19
14,2020-03-25,2,3,0.0,0,0,36,18,18
15,2020-03-26,14,3,0.0,0,0,50,21,29
16,2020-03-27,8,4,0.0,0,0,58,25,33
17,2020-03-28,8,3,0.0,0,0,66,28,38
18,2020-03-29,7,3,0.0,0,0,73,31,42
19,2020-03-30,11,1,0.0,0,0,84,32,52
20,2020-03-31,11,4,0.0,0,0,95,36,59
21,2020-04-01,21,6,0.0,0,0,116,42,74
22,2020-04-02,13,8,0.0,0,0,129,50,79
23,2020-04-03,8,11,0.0,0,0,137,61,76
24,2020-04-04,7,7,0.0,0,0,144,68,76
25,2020-04-05,8,5,0.0,0,0,152,73,79
26,2020-04-06,14,11,0.0,0,0,166,84,82
27,2020-04-07,9,15,0.0,0,0,175,99,76
28,2020-04-08,9,8,0.0,0,0,184,107,77
29,2020-04-09,8,7,0.0,0,0,192,114,78
30,2020-04-10,4,9,0.0,0,0,196,123,73
31,2020-04-11,4,6,0.0,0,0,200,129,71
32,2020-04-12,6,8,0.0,0,0,206,137,69
33,2020-04-13,6,10,0.0,0,0,212,147,65
34,2020-04-14,4,3,0.0,0,0,216,150,66
35,2020-04-15,5,4,0.0,0,0,221,154,67
36,2020-04-16,6,4,0.0,0,0,227,158,69
37,2020-04-17,2,6,0.0,0,0,229,164,65
38,2020-04-18,3,3,0.0,0,0,232,167,65
39,2020-04-19,3,5,0.0,0,0,235,172,63
40,2020-04-20,9,8,0.0,0,0,244,180,64
41,2020-04-21,7,4,0.0,0,0,251,184,67
42,2020-04-22,4,4,0.0,0,0,255,188,67
43,2020-04-23,2,11,0.0,0,0,257,199,58
44,2020-04-24,2,2,0.0,0,0,259,201,58
45,2020-04-25,3,4,0.0,0,0,262,205,57
46,2020-04-26,1,8,0.0,0,0,263,213,50
47,2020-04-27,2,7,0.0,0,0,265,220,45
48,2020-04-28,1,2,0.0,0,0,266,222,44
49,2020-04-29,3,4,0.0,0,0,269,226,43
50,2020-04-30,1,3,0.0,0,0,270,229,41
51,2020-05-01,1,6,0.0,0,0,271,235,36
52,2020-05-02,3,4,0.0,0,0,274,239,35
53,2020-05-03,3,2,0.0,0,0,277,241,36
54,2020-05-04,6,3,0.0,0,0,283,244,39
55,2020-05-05,3,4,0.0,0,0,286,248,38
56,2020-05-06,2,2,0.0,0,0,288,250,38
57,2020-05-07,1,4,0.0,0,0,289,254,35
58,2020-05-08,1,6,0.0,0,0,290,260,30
59,2020-05-09,4,1,0.0,0,0,294,261,33
60,2020-05-10,10,1,0.0,0,0,304,262,42
61,2020-05-11,3,4,0.0,0,0,307,266,41
62,2020-05-12,5,6,0.0,0,0,312,272,40
63,2020-05-13,5,2,0.0,0,0,317,274,43
64,2020-05-14,3,2,0.0,0,0,320,276,44
65,2020-05-15,5,4,0.0,0,0,325,280,45
66,2020-05-16,2,1,0.0,0,0,327,281,46
67,2020-05-17,3,0,0.0,0,0,330,281,49
68,2020-05-18,2,0,0.0,0,0,332,281,51
69,2020-05-19,2,5,0.0,0,0,334,286,48
70,2020-05-20,8,1,0.0,0,0,342,287,55
71,2020-05-21,5,6,0.0,0,0,347,293,54
72,2020-05-22,8,2,0.0,0,0,355,295,60
73,2020-05-23,4,3,0.0,0,0,359,298,61
74,2020-05-24,5,0,0.0,0,0,364,298,66
75,2020-05-25,2,0,0.0,0,0,366,298,68
76,2020-05-26,3,4,0.0,0,0,369,302,67
77,2020-05-27,3,3,0.0,0,0,372,305,67
78,2020-05-28,5,2,0.0,0,0,377,307,70
79,2020-05-29,2,4,0.0,0,0,379,311,68
80,2020-05-30,2,7,0.0,0,0,381,318,63
81,2020-05-31,1,3,0.0,0,0,382,321,61
82,2020-06-01,3,4,0.0,0,0,385,325,60
83,2020-06-02,1,5,0.0,0,0,386,330,56
84,2020-06-03,4,6,0.0,0,0,390,336,54
85,2020-06-04,1,5,0.0,0,0,391,341,50
86,2020-06-05,3,2,0.0,0,0,394,343,51
87,2020-06-06,6,4,0.0,0,0,400,347,53
88,2020-06-07,6,2,0.0,0,0,406,349,57
89,2020-06-08,4,3,0.0,0,0,410,352,58
90,2020-06-09,4,9,0.0,0,0,414,361,53
91,2020-06-10,4,4,0.0,0,0,418,365,53
92,2020-06-11,3,2,0.0,0,0,421,367,54
93,2020-06-12,9,3,0.0,0,0,430,370,60
94,2020-06-13,2,5,0.0,0,0,432,375,57
95,2020-06-14,2,6,0.0,0,0,434,381,53
96,2020-06-15,8,5,0.0,0,0,442,386,56
97,2020-06-16,5,5,0.0,0,0,447,391,56
98,2020-06-17,6,7,0.0,0,0,453,398,55
99,2020-06-18,8,1,0.0,0,0,461,399,62
100,2020-06-19,11,7,0.0,0,0,472,406,66
101,2020-06-20,11,7,0.0,0,0,483,413,70
102,2020-06-21,6,4,,0,0,489,417,72
103,2020-06-22,8,7,,0,0,497,424,73
104,2020-06-23,11,7,0.0,0,0,508,431,77
105,2020-06-24,12,8,0.0,0,0,520,439,81
106,2020-06-25,7,6,0.0,0,0,527,445,82
107,2020-06-26,9,17,0.0,0,0,536,462,74
108,2020-06-27,20,9,0.0,0,0,556,471,85
109,2020-06-28,30,5,0.0,0,0,586,476,110
110,2020-06-29,25,8,0.0,0,0,611,484,127
111,2020-06-30,24,11,0.0,0,0,635,495,140
112,2020-07-01,20,12,0.0,0,0,655,507,148
113,2020-07-02,25,22,0.0,0,0,680,529,151
114,2020-07-03,33,21,0.0,0,0,713,550,163
115,2020-07-04,32,10,0.0,0,0,745,560,185
116,2020-07-05,22,19,0.0,0,0,767,579,188
117,2020-07-06,29,30,0.0,0,0,796,609,187
118,2020-07-07,40,24,0.0,0,0,836,633,203
119,2020-07-08,37,16,0.0,0,0,873,649,224
120,2020-07-09,34,31,0.0,0,0,907,680,227
121,2020-07-10,27,38,0.0,0,0,934,718,216
122,2020-07-11,38,24,0.0,0,0,972,742,230
123,2020-07-12,30,29,0.0,0,0,1002,771,231
124,2020-07-13,34,26,0.0,0,0,1036,797,239
125,2020-07-14,40,33,0.0,0,0,1076,830,246
126,2020-07-15,30,28,0.0,0,0,1106,858,248
127,2020-07-16,37,40,0.0,0,0,1143,898,245
128,2020-07-17,30,21,0.0,0,0,1173,919,254
129,2020-07-18,43,23,0.0,0,0,1216,942,274
130,2020-07-19,44,34,0.0,0,0,1260,976,284
131,2020-07-20,34,30,0.0,0,0,1294,1006,288
132,2020-07-21,24,37,0.0,0,0,1318,1043,275
133,2020-07-22,39,28,0.0,0,0,1357,1071,286
134,2020-07-23,28,33,0.0,0,0,1385,1104,281
135,2020-07-24,32,34,0.0,0,0,1417,1138,279
136,2020-07-25,21,30,0.0,0,0,1438,1168,270
137,2020-07-26,22,17,0.0,0,0,1460,1185,275
138,2020-07-27,31,39,0.0,0,0,1491,1224,267
139,2020-07-28,20,34,0.0,0,0,1511,1258,253
140,2020-07-29,24,39,0.0,0,0,1535,1297,238
141,2020-07-30,20,30,0.0,0,0,1555,1327,228
142,2020-07-31,17,39,0.0,0,0,1572,1366,206
143,2020-08-01,16,16,0.0,0,0,1588,1382,206
144,2020-08-02,21,25,0.0,0,0,1609,1407,202
145,2020-08-03,29,17,0.0,0,0,1638,1424,214
146,2020-08-04,22,39,0.0,0,0,1660,1463,197
147,2020-08-05,25,17,0.0,0,0,1685,1480,205
148,2020-08-06,22,18,0.0,0,0,1707,1498,209
149,2020-08-07,20,23,0.0,0,0,1727,1521,206
150,2020-08-08,11,20,0.0,0,0,1738,1541,197
151,2020-08-09,19,15,0.0,0,0,1757,1556,201
152,2020-08-10,23,18,0.0,0,0,1780,1574,206
153,2020-08-11,12,31,0.0,0,0,1792,1605,187
154,2020-08-12,11,27,0.0,0,0,1803,1632,171
155,2020-08-13,11,22,0.0,0,0,1814,1654,160
156,2020-08-14,12,26,0.0,0,0,1826,1680,146
157,2020-08-15,18,17,0.0,0,0,1844,1697,147
158,2020-08-16,9,9,0.0,0,0,1853,1706,147
159,2020-08-17,10,17,0.0,0,0,1863,1723,140
160,2020-08-18,8,25,0.0,0,0,1871,1748,123
161,2020-08-19,10,11,0.0,0,0,1881,1759,122
162,2020-08-20,15,10,0.0,0,0,1896,1769,127
163,2020-08-21,8,16,0.0,0,0,1904,1785,119
164,2020-08-22,10,8,0.0,0,0,1914,1793,121
165,2020-08-23,10,9,0.0,0,0,1924,1802,122
166,2020-08-24,9,17,0.0,0,0,1933,1819,114
167,2020-08-25,5,16,0.0,0,0,1938,1835,103
168,2020-08-26,10,7,0.0,0,0,1948,1842,106
169,2020-08-27,11,11,0.0,0,0,1959,1853,106
170,2020-08-28,12,14,0.0,0,0,1971,1867,104
171,2020-08-29,5,10,0.0,0,0,1976,1877,99
172,2020-08-30,11,9,0.0,0,0,1987,1886,101
173,2020-08-31,13,15,0.0,0,0,2000,1901,99
174,2020-09-01,5,19,0.0,0,0,2005,1920,85
175,2020-09-02,13,10,0.0,0,0,2018,1930,88
176,2020-09-03,8,12,0.0,0,0,2026,1942,84
177,2020-09-04,7,9,0.0,0,26,2033,1951,82
178,2020-09-05,8,9,0.0,0,26,2041,1960,81
179,2020-09-06,5,6,0.0,0,25,2046,1966,80
180,2020-09-07,8,13,0.0,0,25,2054,1979,75
181,2020-09-08,4,14,0.0,0,24,2058,1993,65
182,2020-09-09,6,4,0.0,0,22,2064,1997,67
183,2020-09-10,5,7,0.0,0,21,2069,2004,65
184,2020-09-11,4,14,0.0,0,21,2073,2018,55
185,2020-09-12,5,9,0.0,0,21,2078,2027,51
186,2020-09-13,5,6,0.0,0,19,2083,2033,50
187,2020-09-14,3,4,0.0,0,18,2086,2037,49
188,2020-09-15,10,9,0.0,0,18,2096,2046,50
189,2020-09-16,7,3,0.0,0,19,2103,2049,54
190,2020-09-17,7,10,0.0,0,19,2110,2059,51
191,2020-09-18,7,4,0.0,0,18,2117,2063,54
192,2020-09-19,5,7,0.0,0,18,2122,2070,52
193,2020-09-20,5,7,0.0,0,19,2127,2077,50
194,2020-09-21,6,6,0.0,0,18,2133,2083,50
195,2020-09-22,3,9,0.0,0,17,2136,2092,44
196,2020-09-23,5,5,0.0,0,14,2141,2097,44
197,2020-09-24,7,6,0.0,0,13,2148,2103,45
198,2020-09-25,8,2,0.0,0,13,2156,2105,51
199,2020-09-26,2,8,0.0,0,13,2158,2113,45
200,2020-09-27,2,4,0.0,0,13,2160,2117,43
201,2020-09-28,7,3,0.0,0,12,2167,2120,47
202,2020-09-29,8,10,0.0,0,12,2175,2130,45
203,2020-09-30,11,7,0.0,0,14,2186,2137,49
204,2020-10-01,5,11,0.0,0,14,2191,2148,43
205,2020-10-02,9,3,0.0,0,13,2200,2151,49
206,2020-10-03,8,4,0.0,0,12,2208,2155,53
207,2020-10-04,5,7,0.0,0,12,2213,2162,51
208,2020-10-05,6,3,0.0,0,13,2219,2165,54
209,2020-10-06,3,9,0.0,0,14,2222,2174,48
210,2020-10-07,9,9,0.0,0,14,2231,2183,48
211,2020-10-08,7,10,0.0,0,14,2238,2193,45
212,2020-10-09,3,1,0.0,0,15,2241,2194,47
213,2020-10-10,8,5,0.0,0,15,2249,2199,50
214,2020-10-11,8,1,0.0,0,14,2257,2200,57
215,2020-10-12,10,8,0.0,0,14,2267,2208,59
216,2020-10-13,3,14,0.0,0,14,2270,2222,48
217,2020-10-14,8,5,0.0,0,15,2278,2227,51
218,2020-10-15,4,6,0.0,0,14,2282,2233,49
219,2020-10-16,7,2,0.0,0,14,2289,2235,54
220,2020-10-17,4,10,0.0,0,14,2293,2245,48
221,2020-10-18,6,3,0.0,0,13,2299,2248,51
222,2020-10-19,4,5,0.0,0,13,2303,2253,50
223,2020-10-20,6,5,0.0,0,13,2309,2258,51
224,2020-10-21,7,4,0.0,0,12,2316,2262,54
225,2020-10-22,7,10,0.0,0,12,2323,2272,51
226,2020-10-23,11,7,0.0,0,12,2334,2279,55
227,2020-10-24,6,7,0.0,0,12,2340,2286,54
228,2020-10-25,7,5,0.0,0,11,2347,2291,56
229,2020-10-26,13,6,0.0,0,11,2360,2297,63
230,2020-10-27,8,13,0.0,0,10,2368,2310,58
231,2020-10-28,7,7,0.0,0,7,2375,2317,58
232,2020-10-29,4,10,0.0,0,8,2379,2327,52
233,2020-10-30,3,6,0.0,0,7,2382,2333,49
234,2020-10-31,11,7,0.0,0,7,2393,2340,53
235,2020-11-01,5,3,0.0,0,7,2398,2343,55
236,2020-11-02,10,6,0.0,0,7,2408,2349,59
237,2020-11-03,8,9,0.0,0,7,2416,2358,58
238,2020-11-04,8,7,0.0,0,7,2424,2365,59
239,2020-11-05,8,5,0.0,0,9,2432,2370,62
240,2020-11-06,15,6,0.0,0,9,2447,2376,71
241,2020-11-07,6,8,0.0,0,9,2453,2384,69
242,2020-11-08,8,5,0.0,0,10,2461,2389,72
243,2020-11-09,13,9,0.0,0,10,2474,2398,76
244,2020-11-10,16,15,0.0,0,10,2490,2413,77
245,2020-11-11,13,5,0.0,0,8,2503,2418,85
246,2020-11-12,13,15,0.0,0,9,2516,2433,83
247,2020-11-13,11,11,0.0,0,11,2527,2444,83
248,2020-11-14,5,16,0.0,0,11,2532,2460,72
249,2020-11-15,12,8,0.0,0,12,2544,2468,76
250,2020-11-16,11,9,0.0,0,12,2555,2477,78
251,2020-11-17,9,10,0.0,0,11,2564,2487,77
252,2020-11-18,11,11,0.0,0,11,2575,2498,77
253,2020-11-19,13,12,0.0,0,11,2588,2510,78
254,2020-11-20,12,12,0.0,0,12,2600,2522,78
255,2020-11-21,11,6,0.0,0,14,2611,2528,83
256,2020-11-22,16,14,0.0,0,14,2627,2542,85
257,2020-11-23,22,8,0.0,0,15,2649,2550,99
258,2020-11-24,15,22,0.0,0,15,2664,2572,92
259,2020-11-25,19,18,0.0,0,17,2683,2590,93
260,2020-11-26,10,12,0.0,0,17,2693,2602,91
261,2020-11-27,20,6,0.0,0,16,2713,2608,105
262,2020-11-28,29,16,0.0,0,16,2742,2624,118
263,2020-11-29,16,10,0.0,0,17,2758,2634,124
264,2020-11-30,18,16,0.0,0,18,2776,2650,126
265,2020-12-01,21,19,0.0,0,18,2797,2669,128
266,2020-12-02,17,23,0.0,0,19,2814,2692,122
267,2020-12-03,10,14,0.0,0,19,2824,2706,118
268,2020-12-04,13,20,0.0,0,20,2837,2726,111
269,2020-12-05,23,7,0.0,0,21,2860,2733,127
270,2020-12-06,21,10,0.0,0,23,2881,2743,138
271,2020-12-07,29,18,0.0,0,30,2910,2761,149
272,2020-12-08,22,22,0.0,0,32,2932,2783,149
273,2020-12-09,18,17,0.0,0,33,2950,2800,150
274,2020-12-10,18,15,0.0,0,34,2968,2815,153
275,2020-12-11,26,24,0.0,0,37,2994,2839,155
276,2020-12-12,10,17,0.0,0,37,3004,2856,148
277,2020-12-13,26,13,0.0,0,40,3030,2869,161
278,2020-12-14,23,16,0.0,0,39,3053,2885,168
279,2020-12-15,15,19,0.0,0,37,3068,2904,164
280,2020-12-16,19,20,0.0,0,36,3087,2924,163
281,2020-12-17,18,15,0.0,0,38,3105,2939,166
282,2020-12-18,13,21,0.0,0,37,3118,2960,158
283,2020-12-19,18,14,0.0,0,38,3136,2974,162
284,2020-12-20,14,23,0.0,0,36,3150,2997,153
285,2020-12-21,20,20,0.0,0,37,3170,3017,153
286,2020-12-22,9,21,0.0,0,34,3179,3038,141
287,2020-12-23,24,18,0.0,0,34,3203,3056,147
288,2020-12-24,11,20,0.0,0,32,3214,3076,138
289,2020-12-25,17,14,0.0,0,35,3231,3090,141
290,2020-12-26,23,14,0.0,0,34,3254,3104,150
291,2020-12-27,16,13,0.0,0,32,3270,3117,153
292,2020-12-28,18,21,0.0,0,32,3288,3138,150
293,2020-12-29,24,20,0.0,0,31,3312,3158,154
294,2020-12-30,19,15,0.0,0,30,3331,3173,158
295,2020-12-31,17,23,0.0,0,31,3348,3196,152
296,2021-01-01,15,11,0.0,0,30,3363,3207,156
297,2021-01-02,25,10,0.0,0,32,3388,3217,171
298,2021-01-03,11,17,0.0,0,33,3399,3234,165
299,2021-01-04,29,27,0.0,0,36,3428,3261,167
300,2021-01-05,21,23,0.0,0,34,3449,3284,165
301,2021-01-06,19,17,0.0,0,32,3468,3301,167
302,2021-01-07,22,22,0.0,0,32,3490,3323,167
303,2021-01-08,18,26,0.0,0,31,3508,3349,159
304,2021-01-09,22,22,0.0,0,33,3530,3371,159
305,2021-01-10,15,16,0.0,0,33,3545,3387,158
306,2021-01-11,25,22,0.0,0,30,3570,3409,161
307,2021-01-12,18,26,0.0,0,29,3588,3435,153
308,2021-01-13,24,15,0.0,0,28,3612,3450,162
309,2021-01-14,22,26,0.0,0,27,3634,3476,158
310,2021-01-15,25,27,0.0,0,27,3659,3503,156
311,2021-01-16,20,13,0.0,0,28,3679,3516,163
312,2021-01-17,17,13,0.0,0,28,3696,3529,167
313,2021-01-18,15,18,0.0,0,27,3711,3547,164
314,2021-01-19,24,40,0.0,0,26,3735,3587,148
315,2021-01-20,19,28,0.0,0,30,3754,3615,139
316,2021-01-21,24,21,0.0,0,28,3778,3636,142
317,2021-01-22,14,24,0.0,0,27,3792,3660,132
318,2021-01-23,14,11,0.0,0,24,3806,3671,135
319,2021-01-24,18,10,0.0,0,24,3824,3681,143
320,2021-01-25,20,14,0.0,0,24,3844,3695,149
321,2021-01-26,16,18,0.0,0,26,3860,3713,147
322,2021-01-27,23,15,0.0,0,26,3883,3728,155
323,2021-01-28,17,23,0.0,0,25,3900,3751,149
324,2021-01-29,14,22,0.0,0,25,3914,3773,141
325,2021-01-30,13,20,0.0,0,24,3927,3793,134
326,2021-01-31,14,14,0.0,0,26,3941,3807,134
327,2021-02-01,14,23,0.0,0,30,3955,3830,125
328,2021-02-02,12,25,0.0,0,30,3967,3855,112
329,2021-02-03,19,6,0.0,0,28,3986,3861,125
330,2021-02-04,8,19,0.0,0,27,3994,3880,114
331,2021-02-05,13,16,0.0,0,28,4007,3896,111
332,2021-02-06,12,7,0.0,0,28,4019,3903,116
333,2021-02-07,14,12,0.0,0,28,4033,3915,118
334,2021-02-08,19,14,0.0,0,29,4052,3929,123
335,2021-02-09,13,9,0.0,0,29,4065,3938,127
336,2021-02-10,14,11,0.0,0,29,4079,3949,130
337,2021-02-11,14,13,0.0,0,30,4093,3962,131
338,2021-02-12,13,16,0.0,0,31,4106,3978,128
339,2021-02-13,12,12,0.0,0,31,4118,3990,128
340,2021-02-14,12,9,0.0,0,28,4130,3999,131
341,2021-02-15,14,13,0.0,0,28,4144,4012,132
342,2021-02-16,16,20,0.0,0,28,4160,4032,128
343,2021-02-17,12,9,0.0,0,28,4172,4041,131
344,2021-02-18,13,16,0.0,0,27,4185,4057,128
345,2021-02-19,13,28,0.0,0,26,4198,4085,113
346,2021-02-20,13,13,0.0,0,24,4211,4098,113
347,2021-02-21,16,18,0.0,0,21,4227,4116,111
348,2021-02-22,8,16,0.0,0,20,4235,4132,103
349,2021-02-23,10,15,0.0,0,18,4245,4147,98
350,2021-02-24,11,12,0.0,0,17,4256,4159,97
351,2021-02-25,10,13,0.0,0,18,4266,4172,94
352,2021-02-26,11,10,0.0,0,20,4277,4182,95
353,2021-02-27,11,8,0.0,0,22,4288,4190,98
354,2021-02-28,10,4,0.0,0,22,4298,4194,104
355,2021-03-01,14,15,0.0,0,22,4312,4209,103
356,2021-03-02,5,20,0.0,0,21,4317,4229,88
357,2021-03-03,16,7,0.0,0,21,4333,4236,97
358,2021-03-04,15,11,0.0,0,19,4348,4247,101
359,2021-03-05,11,19,0.0,0,19,4359,4266,93
360,2021-03-06,10,6,0.0,0,17,4369,4272,97
361,2021-03-07,11,14,0.0,0,17,4380,4286,94
362,2021-03-08,10,15,0.0,0,14,4390,4301,89
363,2021-03-09,13,15,0.0,0,15,4403,4316,87
364,2021-03-10,14,12,0.0,0,14,4417,4328,89
365,2021-03-11,11,15,0.0,0,12,4428,4343,85
366,2021-03-12,11,11,0.0,0,12,4439,4354,85
367,2021-03-13,8,11,0.0,0,11,4447,4365,82
368,2021-03-14,15,11,0.0,0,11,4462,4376,86
369,2021-03-15,17,9,0.0,0,10,4479,4385,94
370,2021-03-16,18,20,0.0,0,11,4497,4405,92
371,2021-03-17,10,7,0.0,0,11,4507,4412,95
372,2021-03-18,16,9,0.0,0,9,4523,4421,102
373,2021-03-19,20,18,0.0,0,9,4543,4439,104
374,2021-03-20,20,19,0.0,0,9,4563,4458,105
375,2021-03-21,7,9,0.0,0,8,4570,4467,103
376,2021-03-22,12,16,0.0,0,8,4582,4483,99
377,2021-03-23,12,20,0.0,0,10,4594,4503,91
378,2021-03-24,16,15,0.0,0,9,4610,4518,92
379,2021-03-25,9,16,0.0,0,9,4619,4534,85
380,2021-03-26,12,13,0.0,0,9,4631,4547,84
381,2021-03-27,6,10,0.0,0,10,4637,4557,80
382,2021-03-28,9,13,0.0,0,11,4646,4570,76
383,2021-03-29,11,16,0.0,0,11,4657,4586,71
384,2021-03-30,6,14,0.0,0,13,4663,4600,63
385,2021-03-31,17,4,0.0,0,14,4680,4604,76
386,2021-04-01,13,9,0.0,0,15,4693,4613,80
387,2021-04-02,7,11,0.0,0,14,4700,4624,76
388,2021-04-03,11,11,0.0,0,15,4711,4635,76
389,2021-04-04,12,6,0.0,0,15,4723,4641,82
