,Date,positive_IP_count,pos_discharged_count,pos_deceased_count,current_vent,current_icu,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,2020-03-11,0,0,0,0,0,0,0,0
1,2020-03-12,0,0,0,0,0,0,0,0
2,2020-03-13,0,0,0,0,0,0,0,0
3,2020-03-14,0,0,0,0,0,0,0,0
4,2020-03-15,0,0,0,0,0,0,0,0
5,2020-03-16,0,0,0,0,0,0,0,0
6,2020-03-17,1,0,0,0,0,1,0,1
7,2020-03-18,0,0,0,0,0,1,0,1
8,2020-03-19,0,0,0,0,0,1,0,1
9,2020-03-20,4,0,0,0,0,5,0,5
10,2020-03-21,2,1,0,0,0,7,1,6
11,2020-03-22,0,2,0,0,0,7,3,4
12,2020-03-23,2,0,0,0,0,9,3,6
13,2020-03-24,2,1,0,0,0,11,4,7
14,2020-03-25,2,0,0,0,0,13,4,9
15,2020-03-26,4,2,0,0,0,17,6,11
16,2020-03-27,2,0,0,0,0,19,6,13
17,2020-03-28,2,2,0,0,0,21,8,13
18,2020-03-29,1,2,0,0,0,22,10,12
19,2020-03-30,3,0,0,0,0,25,10,15
20,2020-03-31,4,3,0,0,0,29,13,16
21,2020-04-01,7,3,0,0,0,36,16,20
22,2020-04-02,2,1,0,0,0,38,17,21
23,2020-04-03,2,5,0,0,0,40,22,18
24,2020-04-04,7,4,0,0,0,47,26,21
25,2020-04-05,5,4,0,0,0,52,30,22
26,2020-04-06,3,1,0,0,0,55,31,24
27,2020-04-07,6,7,0,0,0,61,38,23
28,2020-04-08,2,6,0,0,0,63,44,19
29,2020-04-09,3,2,0,0,0,66,46,20
30,2020-04-10,2,5,0,0,0,68,51,17
31,2020-04-11,1,3,0,0,0,69,54,15
32,2020-04-12,1,2,0,0,0,70,56,14
33,2020-04-13,2,1,0,0,0,72,57,15
34,2020-04-14,5,1,0,0,0,77,58,19
35,2020-04-15,3,4,0,0,0,80,62,18
36,2020-04-16,2,4,0,0,0,82,66,16
37,2020-04-17,0,3,0,0,0,82,69,13
38,2020-04-18,3,0,0,0,0,85,69,16
39,2020-04-19,0,3,0,0,0,85,72,13
40,2020-04-20,2,0,0,0,0,87,72,15
41,2020-04-21,2,3,0,0,0,89,75,14
42,2020-04-22,0,3,0,0,0,89,78,11
43,2020-04-23,0,2,0,0,0,89,80,9
44,2020-04-24,0,2,0,0,0,89,82,7
45,2020-04-25,1,1,0,0,0,90,83,7
46,2020-04-26,2,1,0,0,0,92,84,8
47,2020-04-27,1,2,0,0,0,93,86,7
48,2020-04-28,2,0,0,0,0,95,86,9
49,2020-04-29,5,2,0,0,0,100,88,12
50,2020-04-30,1,2,0,0,0,101,90,11
51,2020-05-01,3,3,0,0,0,104,93,11
52,2020-05-02,1,1,0,0,0,105,94,11
53,2020-05-03,0,2,0,0,0,105,96,9
54,2020-05-04,2,2,0,0,0,107,98,9
55,2020-05-05,0,1,0,0,0,107,99,8
56,2020-05-06,1,1,0,0,0,108,100,8
57,2020-05-07,3,1,0,0,0,111,101,10
58,2020-05-08,0,3,0,0,0,111,104,7
59,2020-05-09,3,0,0,0,0,114,104,10
60,2020-05-10,0,0,0,0,0,114,104,10
61,2020-05-11,0,1,0,0,0,114,105,9
62,2020-05-12,0,1,0,0,0,114,106,8
63,2020-05-13,0,1,0,0,0,114,107,7
64,2020-05-14,3,1,0,0,0,117,108,9
65,2020-05-15,4,1,0,0,0,121,109,12
66,2020-05-16,2,1,0,0,0,123,110,13
67,2020-05-17,2,0,0,0,0,125,110,15
68,2020-05-18,4,1,0,0,0,129,111,18
69,2020-05-19,5,3,0,0,0,134,114,20
70,2020-05-20,1,3,0,0,0,135,117,18
71,2020-05-21,4,1,0,0,0,139,118,21
72,2020-05-22,2,2,0,0,0,141,120,21
73,2020-05-23,0,4,0,0,0,141,124,17
74,2020-05-24,3,0,0,0,0,144,124,20
75,2020-05-25,2,2,0,0,0,146,126,20
76,2020-05-26,2,2,0,0,0,148,128,20
77,2020-05-27,5,3,0,0,0,153,131,22
78,2020-05-28,4,3,0,0,0,157,134,23
79,2020-05-29,4,4,0,0,0,161,138,23
80,2020-05-30,2,2,0,0,0,163,140,23
81,2020-05-31,1,0,0,0,0,164,140,24
82,2020-06-01,3,4,0,0,0,167,144,23
83,2020-06-02,3,1,0,0,0,170,145,25
84,2020-06-03,10,5,0,0,0,180,150,30
85,2020-06-04,8,6,0,0,0,188,156,32
86,2020-06-05,8,7,0,0,0,196,163,33
87,2020-06-06,2,5,0,0,0,198,168,30
88,2020-06-07,13,5,0,0,0,211,173,38
89,2020-06-08,3,11,0,0,0,214,184,30
90,2020-06-09,6,7,0,0,0,220,191,29
91,2020-06-10,6,2,0,0,0,226,193,33
92,2020-06-11,12,5,0,0,0,238,198,40
93,2020-06-12,4,11,0,0,0,242,209,33
94,2020-06-13,9,4,0,0,0,251,213,38
95,2020-06-14,4,3,0,0,0,255,216,39
96,2020-06-15,6,8,0,0,0,261,224,37
97,2020-06-16,12,10,0,0,0,273,234,39
98,2020-06-17,16,7,0,0,0,289,241,48
99,2020-06-18,7,12,0,0,0,296,253,43
100,2020-06-19,9,4,0,0,0,305,257,48
101,2020-06-20,8,9,0,0,0,313,266,47
102,2020-06-21,11,6,0,0,0,324,272,52
103,2020-06-22,5,11,0,0,0,329,283,46
104,2020-06-23,10,9,0,0,0,339,292,47
105,2020-06-24,8,12,0,0,0,347,304,43
106,2020-06-25,10,10,0,0,0,357,314,43
107,2020-06-26,13,17,0,0,0,370,331,39
108,2020-06-27,18,10,0,0,0,388,341,47
109,2020-06-28,11,9,0,0,0,399,350,49
110,2020-06-29,13,14,0,0,0,412,364,48
111,2020-06-30,12,12,0,0,0,424,376,48
112,2020-07-01,17,15,0,0,0,441,391,50
113,2020-07-02,14,13,0,0,0,455,404,51
114,2020-07-03,21,12,0,0,0,476,416,60
115,2020-07-04,17,11,0,0,0,493,427,66
116,2020-07-05,17,14,0,0,0,510,441,69
117,2020-07-06,17,21,0,0,0,527,462,65
118,2020-07-07,16,9,0,0,0,543,471,72
119,2020-07-08,23,18,0,0,0,566,489,77
120,2020-07-09,31,15,0,0,0,597,504,93
121,2020-07-10,23,22,0,0,0,620,526,94
122,2020-07-11,12,22,0,0,0,632,548,84
123,2020-07-12,21,12,0,0,0,653,560,93
124,2020-07-13,17,14,0,0,0,670,574,96
125,2020-07-14,18,23,0,0,0,688,597,91
126,2020-07-15,21,18,0,0,0,709,615,94
127,2020-07-16,14,16,0,0,0,723,631,92
128,2020-07-17,30,25,0,0,0,753,656,97
129,2020-07-18,17,14,0,0,0,770,670,100
130,2020-07-19,16,19,0,0,0,786,689,97
131,2020-07-20,12,14,0,0,0,798,703,95
132,2020-07-21,19,23,0,0,0,817,726,91
133,2020-07-22,18,12,0,0,0,835,738,97
134,2020-07-23,9,18,0,0,0,844,756,88
135,2020-07-24,11,15,0,0,0,855,771,84
136,2020-07-25,11,12,0,0,0,866,783,83
137,2020-07-26,16,13,0,0,0,882,796,86
138,2020-07-27,15,10,0,0,0,897,806,91
139,2020-07-28,12,23,0,0,0,909,829,80
140,2020-07-29,11,18,0,0,0,920,847,73
141,2020-07-30,15,12,0,0,0,935,859,76
142,2020-07-31,15,11,0,0,0,950,870,80
143,2020-08-01,7,16,0,0,0,957,886,71
144,2020-08-02,13,7,0,0,0,970,893,77
145,2020-08-03,14,16,0,0,0,984,909,75
146,2020-08-04,8,11,0,0,0,992,920,72
147,2020-08-05,4,8,0,0,0,996,928,68
148,2020-08-06,9,9,0,0,0,1005,937,68
149,2020-08-07,7,10,0,0,0,1012,947,65
150,2020-08-08,10,14,0,0,0,1022,961,61
151,2020-08-09,5,4,0,0,0,1027,965,62
152,2020-08-10,10,9,0,0,0,1037,974,63
153,2020-08-11,5,8,0,0,0,1042,982,60
154,2020-08-12,11,9,0,0,0,1053,991,62
155,2020-08-13,5,12,0,0,0,1058,1003,55
156,2020-08-14,9,16,0,0,0,1067,1019,48
157,2020-08-15,3,9,0,0,0,1070,1028,42
158,2020-08-16,10,9,0,0,0,1080,1037,43
159,2020-08-17,7,8,0,0,0,1087,1045,42
160,2020-08-18,7,11,0,0,0,1094,1056,38
161,2020-08-19,1,6,0,0,0,1095,1062,33
162,2020-08-20,6,7,0,0,0,1101,1069,32
163,2020-08-21,7,5,0,0,0,1108,1074,34
164,2020-08-22,7,5,0,0,0,1115,1079,36
165,2020-08-23,8,6,0,0,0,1123,1085,38
166,2020-08-24,10,9,0,0,0,1133,1094,39
167,2020-08-25,8,5,0,0,0,1141,1099,42
168,2020-08-26,8,9,0,0,0,1149,1108,41
169,2020-08-27,8,8,0,0,0,1157,1116,41
170,2020-08-28,7,12,0,0,0,1164,1128,36
171,2020-08-29,11,8,0,0,0,1175,1136,39
172,2020-08-30,3,4,0,0,0,1178,1140,38
173,2020-08-31,1,9,0,0,0,1179,1149,30
174,2020-09-01,6,6,0,0,0,1185,1155,30
175,2020-09-02,7,3,0,0,0,1192,1158,34
176,2020-09-03,7,7,0,0,0,1199,1165,34
177,2020-09-04,4,4,0,0,8,1203,1169,34
178,2020-09-05,6,11,0,0,7,1209,1180,29
179,2020-09-06,3,6,0,0,7,1212,1186,26
180,2020-09-07,6,4,0,0,7,1218,1190,28
181,2020-09-08,4,6,0,0,7,1222,1196,26
182,2020-09-09,2,8,0,0,7,1224,1204,20
183,2020-09-10,3,3,0,0,9,1227,1207,20
184,2020-09-11,2,3,0,0,9,1229,1210,19
185,2020-09-12,2,3,0,0,9,1231,1213,18
186,2020-09-13,1,2,0,0,9,1232,1215,17
187,2020-09-14,3,2,0,0,10,1235,1217,18
188,2020-09-15,4,2,0,0,10,1239,1219,20
189,2020-09-16,4,4,0,0,10,1243,1223,20
190,2020-09-17,3,6,0,0,10,1246,1229,17
191,2020-09-18,1,4,0,0,10,1247,1233,14
192,2020-09-19,4,2,0,0,9,1251,1235,16
193,2020-09-20,4,2,0,0,9,1255,1237,18
194,2020-09-21,3,1,0,0,9,1258,1238,20
195,2020-09-22,2,4,0,0,9,1260,1242,18
196,2020-09-23,4,3,0,0,9,1264,1245,19
197,2020-09-24,2,2,0,0,7,1266,1247,19
198,2020-09-25,3,5,0,0,6,1269,1252,17
199,2020-09-26,1,4,0,0,6,1270,1256,14
200,2020-09-27,3,3,0,0,5,1273,1259,14
201,2020-09-28,3,6,0,0,5,1276,1265,11
202,2020-09-29,4,1,0,0,3,1280,1266,14
203,2020-09-30,3,3,0,0,3,1283,1269,14
204,2020-10-01,0,2,0,0,3,1283,1271,12
205,2020-10-02,2,3,0,0,3,1285,1274,11
206,2020-10-03,2,3,0,0,3,1287,1277,10
207,2020-10-04,0,3,0,0,3,1287,1280,7
208,2020-10-05,5,1,0,0,3,1292,1281,11
209,2020-10-06,3,3,0,0,4,1295,1284,11
210,2020-10-07,4,4,0,0,3,1299,1288,11
211,2020-10-08,4,3,0,0,3,1303,1291,12
212,2020-10-09,1,4,0,0,3,1304,1295,9
213,2020-10-10,2,2,0,0,3,1306,1297,9
214,2020-10-11,5,1,0,0,3,1311,1298,13
215,2020-10-12,3,2,0,0,3,1314,1300,14
216,2020-10-13,4,4,0,0,3,1318,1304,14
217,2020-10-14,3,2,0,0,3,1321,1306,15
218,2020-10-15,5,4,0,0,3,1326,1310,16
219,2020-10-16,4,4,0,0,3,1330,1314,16
220,2020-10-17,2,5,0,0,3,1332,1319,13
221,2020-10-18,1,3,0,0,3,1333,1322,11
222,2020-10-19,3,4,0,0,2,1336,1326,10
223,2020-10-20,4,3,0,0,2,1340,1329,11
224,2020-10-21,5,4,0,0,1,1345,1333,12
225,2020-10-22,3,2,0,0,1,1348,1335,13
226,2020-10-23,0,0,0,0,1,1348,1335,13
227,2020-10-24,2,0,0,0,1,1350,1335,15
228,2020-10-25,2,3,0,0,1,1352,1338,14
229,2020-10-26,1,3,0,0,0,1353,1341,12
230,2020-10-27,3,2,0,0,0,1356,1343,13
231,2020-10-28,5,1,0,0,0,1361,1344,17
232,2020-10-29,2,6,0,0,0,1363,1350,13
233,2020-10-30,3,2,0,0,0,1366,1352,14
234,2020-10-31,4,2,0,0,0,1370,1354,16
235,2020-11-01,1,6,0,0,1,1371,1360,11
236,2020-11-02,3,3,0,0,1,1374,1363,11
237,2020-11-03,3,1,0,0,1,1377,1364,13
238,2020-11-04,6,4,0,0,1,1383,1368,15
239,2020-11-05,4,2,0,0,1,1387,1370,17
240,2020-11-06,7,7,0,0,1,1394,1377,17
241,2020-11-07,1,4,0,0,1,1395,1381,14
242,2020-11-08,5,2,0,0,1,1400,1383,17
243,2020-11-09,4,4,0,0,1,1404,1387,17
244,2020-11-10,4,4,0,0,1,1408,1391,17
245,2020-11-11,9,2,0,0,1,1417,1393,24
246,2020-11-12,3,5,0,0,2,1420,1398,22
247,2020-11-13,8,9,0,0,3,1428,1407,21
248,2020-11-14,2,5,0,0,3,1430,1412,18
249,2020-11-15,3,3,0,0,3,1433,1415,18
250,2020-11-16,7,3,0,0,3,1440,1418,22
251,2020-11-17,4,8,0,0,3,1444,1426,18
252,2020-11-18,5,6,0,0,3,1449,1432,17
253,2020-11-19,3,2,0,0,4,1452,1434,18
254,2020-11-20,4,7,0,0,4,1456,1441,15
255,2020-11-21,7,2,0,0,4,1463,1443,20
256,2020-11-22,1,3,0,0,4,1464,1446,18
257,2020-11-23,2,3,0,0,4,1466,1449,17
258,2020-11-24,6,0,0,0,5,1472,1449,23
259,2020-11-25,9,3,0,0,8,1481,1452,29
260,2020-11-26,2,3,0,0,7,1483,1455,28
261,2020-11-27,2,1,0,0,7,1485,1456,29
262,2020-11-28,10,4,0,0,6,1495,1460,35
263,2020-11-29,4,4,0,0,5,1499,1464,35
264,2020-11-30,7,2,0,0,5,1506,1466,40
265,2020-12-01,8,9,0,0,6,1514,1475,39
266,2020-12-02,3,3,0,0,5,1517,1478,39
267,2020-12-03,4,8,0,0,6,1521,1486,35
268,2020-12-04,4,10,0,0,6,1525,1496,29
269,2020-12-05,2,6,0,0,6,1527,1502,25
270,2020-12-06,9,6,0,0,5,1536,1508,28
271,2020-12-07,0,10,0,0,4,1536,1518,18
272,2020-12-08,3,2,0,0,4,1539,1520,19
273,2020-12-09,9,3,0,0,5,1548,1523,25
274,2020-12-10,6,7,0,0,5,1554,1530,24
275,2020-12-11,9,5,0,0,5,1563,1535,28
276,2020-12-12,5,3,0,0,6,1568,1538,30
277,2020-12-13,7,2,0,0,7,1575,1540,35
278,2020-12-14,5,11,0,0,7,1580,1551,29
279,2020-12-15,3,8,0,0,7,1583,1559,24
280,2020-12-16,10,5,0,0,7,1593,1564,29
281,2020-12-17,9,6,0,0,7,1602,1570,32
282,2020-12-18,8,2,0,0,8,1610,1572,38
283,2020-12-19,10,6,0,0,9,1620,1578,42
284,2020-12-20,4,6,0,0,9,1624,1584,40
285,2020-12-21,6,10,0,0,8,1630,1594,36
286,2020-12-22,4,7,0,0,8,1634,1601,33
287,2020-12-23,10,4,0,0,9,1644,1605,39
288,2020-12-24,10,9,0,0,9,1654,1614,40
289,2020-12-25,6,6,0,0,9,1660,1620,40
290,2020-12-26,7,4,0,0,8,1667,1624,43
291,2020-12-27,5,6,0,0,8,1672,1630,42
292,2020-12-28,14,9,0,0,7,1686,1639,47
293,2020-12-29,5,9,0,0,7,1691,1648,43
294,2020-12-30,6,7,0,0,6,1697,1655,42
295,2020-12-31,6,5,0,0,6,1703,1660,43
296,2021-01-01,12,7,0,0,7,1715,1667,48
297,2021-01-02,4,11,0,0,8,1719,1678,41
298,2021-01-03,13,6,0,0,9,1732,1684,48
299,2021-01-04,14,15,0,0,10,1746,1699,47
300,2021-01-05,10,9,0,0,9,1756,1708,48
301,2021-01-06,6,14,0,0,9,1762,1722,40
302,2021-01-07,14,8,0,0,9,1776,1730,46
303,2021-01-08,9,4,0,0,8,1785,1734,51
304,2021-01-09,5,11,0,0,9,1790,1745,45
305,2021-01-10,11,4,0,0,10,1801,1749,52
306,2021-01-11,13,4,0,0,11,1814,1753,61
307,2021-01-12,8,13,0,0,12,1822,1766,56
308,2021-01-13,8,5,0,0,11,1830,1771,59
309,2021-01-14,14,8,0,0,11,1844,1779,65
310,2021-01-15,9,10,0,0,11,1853,1789,64
311,2021-01-16,13,7,0,0,12,1866,1796,70
312,2021-01-17,6,9,0,0,13,1872,1805,67
313,2021-01-18,8,16,0,0,14,1880,1821,59
314,2021-01-19,7,14,0,0,14,1887,1835,52
315,2021-01-20,5,9,0,0,13,1892,1844,48
316,2021-01-21,7,9,0,0,13,1899,1853,46
317,2021-01-22,8,10,0,0,14,1907,1863,44
318,2021-01-23,5,7,0,0,13,1912,1870,42
319,2021-01-24,8,9,0,0,14,1920,1879,41
320,2021-01-25,11,7,0,0,14,1931,1886,45
321,2021-01-26,10,6,0,0,11,1941,1892,49
322,2021-01-27,7,9,0,0,11,1948,1901,47
323,2021-01-28,6,9,0,0,11,1954,1910,44
324,2021-01-29,5,11,0,0,11,1959,1921,38
325,2021-01-30,5,8,0,0,10,1964,1929,35
326,2021-01-31,8,6,0,0,9,1972,1935,37
327,2021-02-01,10,6,0,0,10,1982,1941,41
328,2021-02-02,4,3,0,0,9,1986,1944,42
329,2021-02-03,7,8,0,0,9,1993,1952,41
330,2021-02-04,6,11,0,0,8,1999,1963,36
331,2021-02-05,10,6,0,0,7,2009,1969,40
332,2021-02-06,12,10,0,0,6,2021,1979,42
333,2021-02-07,6,8,0,0,6,2027,1987,40
334,2021-02-08,6,7,0,0,5,2033,1994,39
335,2021-02-09,5,8,0,0,5,2038,2002,36
336,2021-02-10,4,10,0,0,5,2042,2012,30
337,2021-02-11,3,6,0,0,5,2045,2018,27
338,2021-02-12,5,2,0,0,5,2050,2020,30
339,2021-02-13,5,3,0,0,5,2055,2023,32
340,2021-02-14,2,6,0,0,5,2057,2029,28
341,2021-02-15,9,4,0,0,4,2066,2033,33
342,2021-02-16,11,6,0,0,5,2077,2039,38
343,2021-02-17,3,5,0,0,5,2080,2044,36
344,2021-02-18,9,9,0,0,7,2089,2053,36
345,2021-02-19,10,7,0,0,8,2099,2060,39
346,2021-02-20,5,3,0,0,7,2104,2063,41
347,2021-02-21,4,11,0,0,7,2108,2074,34
348,2021-02-22,6,8,0,0,6,2114,2082,32
349,2021-02-23,6,9,0,0,7,2120,2091,29
350,2021-02-24,6,5,0,0,8,2126,2096,30
351,2021-02-25,4,3,0,0,8,2130,2099,31
352,2021-02-26,12,6,0,0,9,2142,2105,37
353,2021-02-27,8,5,0,0,10,2150,2110,40
354,2021-02-28,7,6,0,0,9,2157,2116,41
355,2021-03-01,6,9,0,0,9,2163,2125,38
356,2021-03-02,9,5,0,0,11,2172,2130,42
357,2021-03-03,4,2,0,0,12,2176,2132,44
358,2021-03-04,10,8,0,0,11,2186,2140,46
359,2021-03-05,10,11,0,0,11,2196,2151,45
360,2021-03-06,4,7,0,0,11,2200,2158,42
361,2021-03-07,5,4,0,0,9,2205,2162,43
362,2021-03-08,7,7,0,0,9,2212,2169,43
363,2021-03-09,12,7,0,0,9,2224,2176,48
364,2021-03-10,8,14,0,0,10,2232,2190,42
365,2021-03-11,7,4,0,0,9,2239,2194,45
366,2021-03-12,11,14,0,0,9,2250,2208,42
367,2021-03-13,2,6,0,0,9,2252,2214,38
368,2021-03-14,4,1,0,0,9,2256,2215,41
369,2021-03-15,7,11,0,0,9,2263,2226,37
370,2021-03-16,11,6,0,0,10,2274,2232,42
371,2021-03-17,7,7,0,0,10,2281,2239,42
372,2021-03-18,4,9,0,0,10,2285,2248,37
373,2021-03-19,3,12,0,0,11,2288,2260,28
374,2021-03-20,2,2,0,0,9,2290,2262,28
375,2021-03-21,9,5,0,0,9,2299,2267,32
376,2021-03-22,3,7,0,0,7,2302,2274,28
377,2021-03-23,3,2,0,0,8,2305,2276,29
378,2021-03-24,8,8,0,0,9,2313,2284,29
379,2021-03-25,2,5,0,0,8,2315,2289,26
380,2021-03-26,5,4,0,0,8,2320,2293,27
381,2021-03-27,13,2,0,0,8,2333,2295,38
382,2021-03-28,5,2,0,0,8,2338,2297,41
383,2021-03-29,5,7,0,0,8,2343,2304,39
384,2021-03-30,7,4,0,0,8,2350,2308,42
385,2021-03-31,1,12,0,0,8,2351,2320,31
386,2021-04-01,6,5,0,0,6,2357,2325,32
387,2021-04-02,1,6,0,0,5,2358,2331,27
388,2021-04-03,4,7,0,0,5,2362,2338,24
389,2021-04-04,4,5,0,0,5,2366,2343,23
