,Date,positive_IP_count,pos_discharged_count,pos_deceased_count,current_vent,current_icu,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,2020-03-11,0,0,0,0,0,0,0,0
1,2020-03-12,0,0,0,0,0,0,0,0
2,2020-03-13,0,0,0,0,0,0,0,0
3,2020-03-14,0,0,0,0,0,0,0,0
4,2020-03-15,0,0,0,0,0,0,0,0
5,2020-03-16,0,0,0,0,0,0,0,0
6,2020-03-17,0,0,0,0,0,0,0,0
7,2020-03-18,0,0,0,0,0,0,0,0
8,2020-03-19,2,0,0,0,0,2,0,2
9,2020-03-20,1,0,0,0,0,3,0,3
10,2020-03-21,0,0,0,0,0,3,0,3
11,2020-03-22,4,1,0,0,0,7,1,6
12,2020-03-23,1,0,0,0,0,8,1,7
13,2020-03-24,3,0,0,0,0,11,1,10
14,2020-03-25,2,1,0,0,0,13,2,11
15,2020-03-26,3,0,0,0,0,16,2,14
16,2020-03-27,5,3,0,0,0,21,5,16
17,2020-03-28,5,1,0,0,0,26,6,20
18,2020-03-29,4,1,0,0,0,30,7,23
19,2020-03-30,3,5,0,0,0,33,12,21
20,2020-03-31,2,4,0,0,0,35,16,19
21,2020-04-01,5,3,0,0,0,40,19,21
22,2020-04-02,4,2,0,0,0,44,21,23
23,2020-04-03,1,1,0,0,0,45,22,23
24,2020-04-04,4,3,0,0,0,49,25,24
25,2020-04-05,4,2,0,0,0,53,27,26
26,2020-04-06,3,5,0,0,0,56,32,24
27,2020-04-07,4,6,0,0,0,60,38,22
28,2020-04-08,6,4,0,0,0,66,42,24
29,2020-04-09,1,1,0,0,0,67,43,24
30,2020-04-10,4,2,0,0,0,71,45,26
31,2020-04-11,1,3,0,0,0,72,48,24
32,2020-04-12,0,0,0,0,0,72,48,24
33,2020-04-13,2,0,0,0,0,74,48,26
34,2020-04-14,1,4,0,0,0,75,52,23
35,2020-04-15,0,0,0,0,0,75,52,23
36,2020-04-16,2,2,0,0,0,77,54,23
37,2020-04-17,1,1,0,0,0,78,55,23
38,2020-04-18,0,1,0,0,0,78,56,22
39,2020-04-19,1,2,0,0,0,79,58,21
40,2020-04-20,1,2,0,0,0,80,60,20
41,2020-04-21,0,0,0,0,0,80,60,20
42,2020-04-22,3,3,0,0,0,83,63,20
43,2020-04-23,1,3,0,0,0,84,66,18
44,2020-04-24,2,2,0,0,0,86,68,18
45,2020-04-25,0,0,0,0,0,86,68,18
46,2020-04-26,2,0,0,0,0,88,68,20
47,2020-04-27,0,3,0,0,0,88,71,17
48,2020-04-28,1,2,0,0,0,89,73,16
49,2020-04-29,0,0,0,0,0,89,73,16
50,2020-04-30,1,1,0,0,0,90,74,16
51,2020-05-01,0,0,0,0,0,90,74,16
52,2020-05-02,0,0,0,0,0,90,74,16
53,2020-05-03,0,0,0,0,0,90,74,16
54,2020-05-04,0,1,0,0,0,90,75,15
55,2020-05-05,1,2,0,0,0,91,77,14
56,2020-05-06,2,1,0,0,0,93,78,15
57,2020-05-07,0,1,0,0,0,93,79,14
58,2020-05-08,4,1,0,0,0,97,80,17
59,2020-05-09,8,0,0,0,0,105,80,25
60,2020-05-10,0,1,0,0,0,105,81,24
61,2020-05-11,2,1,0,0,0,107,82,25
62,2020-05-12,0,0,0,0,0,107,82,25
63,2020-05-13,2,1,0,0,0,109,83,26
64,2020-05-14,0,0,0,0,0,109,83,26
65,2020-05-15,4,2,0,0,0,113,85,28
66,2020-05-16,1,0,0,0,0,114,85,29
67,2020-05-17,0,1,0,0,0,114,86,28
68,2020-05-18,1,3,0,0,0,115,89,26
69,2020-05-19,1,1,0,0,0,116,90,26
70,2020-05-20,3,2,0,0,0,119,92,27
71,2020-05-21,3,2,0,0,0,122,94,28
72,2020-05-22,3,5,0,0,0,125,99,26
73,2020-05-23,1,2,0,0,0,126,101,25
74,2020-05-24,0,3,0,0,0,126,104,22
75,2020-05-25,1,0,0,0,0,127,104,23
76,2020-05-26,3,2,0,0,0,130,106,24
77,2020-05-27,0,1,0,0,0,130,107,23
78,2020-05-28,1,1,0,0,0,131,108,23
79,2020-05-29,1,4,0,0,0,132,112,20
80,2020-05-30,2,0,0,0,0,134,112,22
81,2020-05-31,1,1,0,0,0,135,113,22
82,2020-06-01,1,4,0,0,0,136,117,19
83,2020-06-02,1,5,0,0,0,137,122,15
84,2020-06-03,2,1,0,0,0,139,123,16
85,2020-06-04,4,3,0,0,0,143,126,17
86,2020-06-05,5,0,0,0,0,148,126,22
87,2020-06-06,6,3,0,0,0,154,129,25
88,2020-06-07,1,1,0,0,0,155,130,25
89,2020-06-08,4,4,0,0,0,159,134,25
90,2020-06-09,0,4,0,0,0,159,138,21
91,2020-06-10,3,3,0,0,0,162,141,21
92,2020-06-11,0,2,0,0,0,162,143,19
93,2020-06-12,2,1,0,0,0,164,144,20
94,2020-06-13,2,2,0,0,0,166,146,20
95,2020-06-14,1,1,0,0,0,167,147,20
96,2020-06-15,4,2,0,0,0,171,149,22
97,2020-06-16,3,5,0,0,0,174,154,20
98,2020-06-17,6,4,0,0,0,180,158,22
99,2020-06-18,6,2,0,0,0,186,160,26
100,2020-06-19,6,4,0,0,0,192,164,28
101,2020-06-20,6,1,0,0,0,198,165,33
102,2020-06-21,5,0,0,0,0,203,165,38
103,2020-06-22,6,8,0,0,0,209,173,36
104,2020-06-23,4,7,0,0,0,213,180,33
105,2020-06-24,8,2,0,0,0,221,182,39
106,2020-06-25,3,6,0,0,0,224,188,36
107,2020-06-26,7,7,0,0,0,231,195,36
108,2020-06-27,10,0,0,0,0,241,195,46
109,2020-06-28,11,5,0,0,0,252,200,52
110,2020-06-29,4,6,0,0,0,256,206,50
111,2020-06-30,10,3,0,0,0,266,209,57
112,2020-07-01,10,13,0,0,0,276,222,54
113,2020-07-02,11,3,0,0,0,287,225,62
114,2020-07-03,13,10,0,0,0,300,235,65
115,2020-07-04,7,8,0,0,0,307,243,64
116,2020-07-05,16,5,0,0,0,323,248,75
117,2020-07-06,13,5,0,0,0,336,253,83
118,2020-07-07,14,18,0,0,0,350,271,79
119,2020-07-08,15,23,0,0,0,365,294,71
120,2020-07-09,11,8,0,0,0,376,302,74
121,2020-07-10,18,15,0,0,0,394,317,77
122,2020-07-11,13,10,0,0,0,407,327,80
123,2020-07-12,11,12,0,0,0,418,339,79
124,2020-07-13,16,15,0,0,0,434,354,80
125,2020-07-14,15,14,0,0,0,449,368,81
126,2020-07-15,9,8,0,0,0,458,376,82
127,2020-07-16,21,14,0,0,0,479,390,89
128,2020-07-17,20,9,0,0,0,499,399,100
129,2020-07-18,9,13,0,0,0,508,412,96
130,2020-07-19,13,5,0,0,0,521,417,104
131,2020-07-20,13,22,0,0,0,534,439,95
132,2020-07-21,15,14,0,0,0,549,453,96
133,2020-07-22,8,14,0,0,0,557,467,90
134,2020-07-23,22,17,0,0,0,579,484,95
135,2020-07-24,17,19,0,0,0,596,503,93
136,2020-07-25,6,12,0,0,0,602,515,87
137,2020-07-26,4,4,0,0,0,606,519,87
138,2020-07-27,12,15,0,0,0,618,534,84
139,2020-07-28,10,10,0,0,0,628,544,84
140,2020-07-29,12,14,0,0,0,640,558,82
141,2020-07-30,9,20,0,0,0,649,578,71
142,2020-07-31,10,8,0,0,0,659,586,73
143,2020-08-01,12,11,0,0,0,671,597,74
144,2020-08-02,9,9,0,0,0,680,606,74
145,2020-08-03,8,9,0,0,0,688,615,73
146,2020-08-04,15,8,0,0,0,703,623,80
147,2020-08-05,9,8,0,0,0,712,631,81
148,2020-08-06,6,7,0,0,0,718,638,80
149,2020-08-07,7,12,0,0,0,725,650,75
150,2020-08-08,4,13,0,0,0,729,663,66
151,2020-08-09,5,6,0,0,0,734,669,65
152,2020-08-10,6,16,0,0,0,740,685,55
153,2020-08-11,5,16,0,0,0,745,701,44
154,2020-08-12,6,8,0,0,0,751,709,42
155,2020-08-13,3,4,0,0,0,754,713,41
156,2020-08-14,4,7,0,0,0,758,720,38
157,2020-08-15,5,3,0,0,0,763,723,40
158,2020-08-16,4,4,0,0,0,767,727,40
159,2020-08-17,4,6,0,0,0,771,733,38
160,2020-08-18,2,6,0,0,0,773,739,34
161,2020-08-19,8,5,0,0,0,781,744,37
162,2020-08-20,3,6,0,0,0,784,750,34
163,2020-08-21,6,10,0,0,0,790,760,30
164,2020-08-22,2,1,0,0,0,792,761,31
165,2020-08-23,5,6,0,0,0,797,767,30
166,2020-08-24,7,4,0,0,0,804,771,33
167,2020-08-25,6,5,0,0,0,810,776,34
168,2020-08-26,3,8,0,0,0,813,784,29
169,2020-08-27,2,7,0,0,0,815,791,24
170,2020-08-28,3,4,0,0,0,818,795,23
171,2020-08-29,4,2,0,0,0,822,797,25
172,2020-08-30,3,2,0,0,0,825,799,26
173,2020-08-31,5,1,0,0,0,830,800,30
174,2020-09-01,3,6,0,0,0,833,806,27
175,2020-09-02,6,7,0,0,0,839,813,26
176,2020-09-03,4,2,0,0,0,843,815,28
177,2020-09-04,3,11,0,0,6,846,826,20
178,2020-09-05,2,3,0,0,6,848,829,19
179,2020-09-06,1,6,0,0,5,849,835,14
180,2020-09-07,3,3,0,0,4,852,838,14
181,2020-09-08,4,6,0,0,2,856,844,12
182,2020-09-09,2,3,0,0,0,858,847,11
183,2020-09-10,3,7,0,0,0,861,854,7
184,2020-09-11,0,2,0,0,0,861,856,5
185,2020-09-12,1,1,0,0,0,862,857,5
186,2020-09-13,1,1,0,0,0,863,858,5
187,2020-09-14,3,0,0,0,0,866,858,8
188,2020-09-15,0,0,0,0,0,866,858,8
189,2020-09-16,2,4,0,0,0,868,862,6
190,2020-09-17,2,0,0,0,0,870,862,8
191,2020-09-18,4,1,0,0,0,874,863,11
192,2020-09-19,0,1,0,0,0,874,864,10
193,2020-09-20,1,0,0,0,0,875,864,11
194,2020-09-21,3,1,0,0,0,878,865,13
195,2020-09-22,5,2,0,0,0,883,867,16
196,2020-09-23,2,5,0,0,1,885,872,13
197,2020-09-24,4,4,0,0,1,889,876,13
198,2020-09-25,2,1,0,0,1,891,877,14
199,2020-09-26,1,3,0,0,0,892,880,12
200,2020-09-27,1,1,0,0,0,893,881,12
201,2020-09-28,0,4,0,0,0,893,885,8
202,2020-09-29,0,2,0,0,0,893,887,6
203,2020-09-30,1,2,0,0,1,894,889,5
204,2020-10-01,5,2,0,0,1,899,891,8
205,2020-10-02,3,1,0,0,0,902,892,10
206,2020-10-03,3,2,0,0,0,905,894,11
207,2020-10-04,2,0,0,0,2,907,894,13
208,2020-10-05,0,3,0,0,2,907,897,10
209,2020-10-06,0,6,0,0,2,907,903,4
210,2020-10-07,3,0,0,0,1,910,903,7
211,2020-10-08,1,1,0,0,1,911,904,7
212,2020-10-09,3,3,0,0,1,914,907,7
213,2020-10-10,2,1,0,0,1,916,908,8
214,2020-10-11,0,1,0,0,1,916,909,7
215,2020-10-12,1,3,0,0,1,917,912,5
216,2020-10-13,0,2,0,0,1,917,914,3
217,2020-10-14,0,1,0,0,1,917,915,2
218,2020-10-15,3,1,0,0,2,920,916,4
219,2020-10-16,4,1,0,0,2,924,917,7
220,2020-10-17,1,1,0,0,2,925,918,7
221,2020-10-18,4,1,0,0,3,929,919,10
222,2020-10-19,4,0,0,0,3,933,919,14
223,2020-10-20,1,1,0,0,4,934,920,14
224,2020-10-21,0,4,0,0,4,934,924,10
225,2020-10-22,1,1,0,0,3,935,925,10
226,2020-10-23,2,2,0,0,3,937,927,10
227,2020-10-24,2,0,0,0,2,939,927,12
228,2020-10-25,4,1,0,0,3,943,928,15
229,2020-10-26,5,3,0,0,4,948,931,17
230,2020-10-27,3,3,0,0,4,951,934,17
231,2020-10-28,4,4,0,0,4,955,938,17
232,2020-10-29,4,8,0,0,4,959,946,13
233,2020-10-30,2,3,0,0,3,961,949,12
234,2020-10-31,4,3,0,0,3,965,952,13
235,2020-11-01,1,2,0,0,2,966,954,12
236,2020-11-02,2,3,0,0,2,968,957,11
237,2020-11-03,3,2,0,0,2,971,959,12
238,2020-11-04,1,3,0,0,2,972,962,10
239,2020-11-05,2,2,0,0,2,974,964,10
240,2020-11-06,2,2,0,0,3,976,966,10
241,2020-11-07,0,3,0,0,3,976,969,7
242,2020-11-08,3,0,0,0,3,979,969,10
243,2020-11-09,6,2,0,0,3,985,971,14
244,2020-11-10,0,0,0,0,3,985,971,14
245,2020-11-11,3,1,0,0,3,988,972,16
246,2020-11-12,6,0,0,0,3,994,972,22
247,2020-11-13,6,9,0,0,3,1000,981,19
248,2020-11-14,4,1,0,0,5,1004,982,22
249,2020-11-15,5,2,0,0,6,1009,984,25
250,2020-11-16,4,3,0,0,6,1013,987,26
251,2020-11-17,4,7,0,0,6,1017,994,23
252,2020-11-18,6,5,0,0,8,1023,999,24
253,2020-11-19,6,3,0,0,8,1029,1002,27
254,2020-11-20,4,4,0,0,7,1033,1006,27
255,2020-11-21,6,5,0,0,6,1039,1011,28
256,2020-11-22,0,7,0,0,6,1039,1018,21
257,2020-11-23,7,3,0,0,7,1046,1021,25
258,2020-11-24,2,2,0,0,6,1048,1023,25
259,2020-11-25,3,6,0,0,6,1051,1029,22
260,2020-11-26,2,4,0,0,5,1053,1033,20
261,2020-11-27,8,4,0,0,4,1061,1037,24
262,2020-11-28,4,4,0,0,3,1065,1041,24
263,2020-11-29,3,3,0,0,3,1068,1044,24
264,2020-11-30,4,3,0,0,3,1072,1047,25
265,2020-12-01,2,3,0,0,3,1074,1050,24
266,2020-12-02,7,6,0,0,3,1081,1056,25
267,2020-12-03,4,4,0,0,3,1085,1060,25
268,2020-12-04,10,5,0,0,2,1095,1065,30
269,2020-12-05,2,5,0,0,3,1097,1070,27
270,2020-12-06,6,2,0,0,4,1103,1072,31
271,2020-12-07,7,7,0,0,4,1110,1079,31
272,2020-12-08,7,4,0,0,4,1117,1083,34
273,2020-12-09,6,4,0,0,4,1123,1087,36
274,2020-12-10,9,4,0,0,5,1132,1091,41
275,2020-12-11,5,7,0,0,7,1137,1098,39
276,2020-12-12,6,3,0,0,7,1143,1101,42
277,2020-12-13,7,5,0,0,7,1150,1106,44
278,2020-12-14,10,11,0,0,7,1160,1117,43
279,2020-12-15,8,10,0,0,7,1168,1127,41
280,2020-12-16,9,5,0,0,6,1177,1132,45
281,2020-12-17,7,10,0,0,7,1184,1142,42
282,2020-12-18,17,8,0,0,6,1201,1150,51
283,2020-12-19,9,6,0,0,6,1210,1156,54
284,2020-12-20,9,6,0,0,5,1219,1162,57
285,2020-12-21,19,15,0,0,4,1238,1177,61
286,2020-12-22,13,17,0,0,5,1251,1194,57
287,2020-12-23,12,11,0,0,6,1263,1205,58
288,2020-12-24,6,14,0,0,5,1269,1219,50
289,2020-12-25,5,8,0,0,5,1274,1227,47
290,2020-12-26,13,6,0,0,7,1287,1233,54
291,2020-12-27,10,8,0,0,8,1297,1241,56
292,2020-12-28,16,14,0,0,9,1313,1255,58
293,2020-12-29,8,6,0,0,9,1321,1261,60
294,2020-12-30,11,10,0,0,9,1332,1271,61
295,2020-12-31,9,8,0,0,8,1341,1279,62
296,2021-01-01,3,6,0,0,8,1344,1285,59
297,2021-01-02,9,10,0,0,6,1353,1295,58
298,2021-01-03,9,3,0,0,7,1362,1298,64
299,2021-01-04,11,15,0,0,8,1373,1313,60
300,2021-01-05,10,5,0,0,7,1383,1318,65
301,2021-01-06,8,13,0,0,7,1391,1331,60
302,2021-01-07,14,10,0,0,8,1405,1341,64
303,2021-01-08,11,12,0,0,9,1416,1353,63
304,2021-01-09,3,5,0,0,10,1419,1358,61
305,2021-01-10,7,9,0,0,8,1426,1367,59
306,2021-01-11,7,13,0,0,8,1433,1380,53
307,2021-01-12,7,10,0,0,7,1440,1390,50
308,2021-01-13,11,6,0,0,7,1451,1396,55
309,2021-01-14,9,6,0,0,6,1460,1402,58
310,2021-01-15,8,10,0,0,6,1468,1412,56
311,2021-01-16,7,3,0,0,5,1475,1415,60
312,2021-01-17,3,12,0,0,5,1478,1427,51
313,2021-01-18,8,6,0,0,4,1486,1433,53
314,2021-01-19,9,16,0,0,5,1495,1449,46
315,2021-01-20,13,10,0,0,5,1508,1459,49
316,2021-01-21,8,5,0,0,6,1516,1464,52
317,2021-01-22,10,10,0,0,6,1526,1474,52
318,2021-01-23,8,9,0,0,6,1534,1483,51
319,2021-01-24,3,6,0,0,6,1537,1489,48
320,2021-01-25,7,13,0,0,5,1544,1502,42
321,2021-01-26,8,5,0,0,6,1552,1507,45
322,2021-01-27,2,8,0,0,6,1554,1515,39
323,2021-01-28,5,10,0,0,6,1559,1525,34
324,2021-01-29,9,4,0,0,6,1568,1529,39
325,2021-01-30,3,3,0,0,6,1571,1532,39
326,2021-01-31,1,3,0,0,5,1572,1535,37
327,2021-02-01,6,6,0,0,6,1578,1541,37
328,2021-02-02,10,7,0,0,5,1588,1548,40
329,2021-02-03,4,5,0,0,4,1592,1553,39
330,2021-02-04,7,4,0,0,4,1599,1557,42
331,2021-02-05,7,10,0,0,4,1606,1567,39
332,2021-02-06,6,3,0,0,5,1612,1570,42
333,2021-02-07,4,2,0,0,5,1616,1572,44
334,2021-02-08,7,11,0,0,6,1623,1583,40
335,2021-02-09,7,8,0,0,7,1630,1591,39
336,2021-02-10,6,5,0,0,6,1636,1596,40
337,2021-02-11,3,5,0,0,6,1639,1601,38
338,2021-02-12,5,8,0,0,7,1644,1609,35
339,2021-02-13,6,2,0,0,7,1650,1611,39
340,2021-02-14,2,7,0,0,7,1652,1618,34
341,2021-02-15,8,4,0,0,7,1660,1622,38
342,2021-02-16,3,9,0,0,7,1663,1631,32
343,2021-02-17,3,2,0,0,6,1666,1633,33
344,2021-02-18,4,4,0,0,6,1670,1637,33
345,2021-02-19,4,8,0,0,6,1674,1645,29
346,2021-02-20,2,7,0,0,5,1676,1652,24
347,2021-02-21,5,2,0,0,5,1681,1654,27
348,2021-02-22,5,8,0,0,5,1686,1662,24
349,2021-02-23,3,7,0,0,4,1689,1669,20
350,2021-02-24,3,4,0,0,3,1692,1673,19
351,2021-02-25,1,2,0,0,2,1693,1675,18
352,2021-02-26,5,4,0,0,3,1698,1679,19
353,2021-02-27,1,1,0,0,3,1699,1680,19
354,2021-02-28,3,3,0,0,3,1702,1683,19
355,2021-03-01,4,4,0,0,3,1706,1687,19
356,2021-03-02,4,5,0,0,3,1710,1692,18
357,2021-03-03,4,5,0,0,3,1714,1697,17
358,2021-03-04,3,2,0,0,3,1717,1699,18
359,2021-03-05,3,3,0,0,3,1720,1702,18
360,2021-03-06,4,7,0,0,3,1724,1709,15
361,2021-03-07,5,3,0,0,3,1729,1712,17
362,2021-03-08,6,1,0,0,3,1735,1713,22
363,2021-03-09,3,3,0,0,3,1738,1716,22
364,2021-03-10,4,3,0,0,3,1742,1719,23
365,2021-03-11,9,7,0,0,3,1751,1726,25
366,2021-03-12,3,4,0,0,3,1754,1730,24
367,2021-03-13,7,3,0,0,2,1761,1733,28
368,2021-03-14,7,3,0,0,3,1768,1736,32
369,2021-03-15,4,5,0,0,4,1772,1741,31
370,2021-03-16,9,5,0,0,4,1781,1746,35
371,2021-03-17,5,6,0,0,4,1786,1752,34
372,2021-03-18,3,9,0,0,4,1789,1761,28
373,2021-03-19,2,5,0,0,4,1791,1766,25
374,2021-03-20,3,6,0,0,4,1794,1772,22
375,2021-03-21,4,6,0,0,5,1798,1778,20
376,2021-03-22,5,5,0,0,5,1803,1783,20
377,2021-03-23,8,3,0,0,5,1811,1786,25
378,2021-03-24,7,4,0,0,4,1818,1790,28
379,2021-03-25,4,5,0,0,4,1822,1795,27
380,2021-03-26,3,8,0,0,4,1825,1803,22
381,2021-03-27,0,2,0,0,4,1825,1805,20
382,2021-03-28,3,6,0,0,4,1828,1811,17
383,2021-03-29,3,5,0,0,5,1831,1816,15
384,2021-03-30,3,1,0,0,6,1834,1817,17
385,2021-03-31,6,7,0,0,6,1840,1824,16
386,2021-04-01,4,1,0,0,5,1844,1825,19
387,2021-04-02,0,2,0,0,5,1844,1827,17
388,2021-04-03,4,3,0,0,5,1848,1830,18
389,2021-04-04,0,2,0,0,5,1848,1832,16
