,Date,positive_IP_count,pos_discharged_count,pos_deceased_count,current_vent,current_icu,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,2020-03-11,0,0,0,0,0,0,0,0
1,2020-03-12,0,0,0,0,0,0,0,0
2,2020-03-13,0,0,0,0,0,0,0,0
3,2020-03-14,0,0,0,0,0,0,0,0
4,2020-03-15,0,0,0,0,0,0,0,0
5,2020-03-16,0,0,0,0,0,0,0,0
6,2020-03-17,0,0,0,0,0,0,0,0
7,2020-03-18,0,1,0,0,0,0,1,-1
8,2020-03-19,1,0,0,0,0,1,1,0
9,2020-03-20,2,1,0,0,0,3,2,1
10,2020-03-21,0,0,0,0,0,3,2,1
11,2020-03-22,1,0,0,0,0,4,2,2
12,2020-03-23,3,1,0,0,0,7,3,4
13,2020-03-24,3,0,0,0,0,10,3,7
14,2020-03-25,2,2,0,0,0,12,5,7
15,2020-03-26,1,2,0,0,0,13,7,6
16,2020-03-27,3,2,0,0,0,16,9,7
17,2020-03-28,6,0,0,0,0,22,9,13
18,2020-03-29,1,4,0,0,0,23,13,10
19,2020-03-30,5,2,0,0,0,28,15,13
20,2020-03-31,2,3,0,0,0,30,18,12
21,2020-04-01,6,1,0,0,0,36,19,17
22,2020-04-02,7,1,0,0,0,43,20,23
23,2020-04-03,2,4,0,0,0,45,24,21
24,2020-04-04,5,3,0,0,0,50,27,23
25,2020-04-05,1,5,0,0,0,51,32,19
26,2020-04-06,5,1,0,0,0,56,33,23
27,2020-04-07,0,5,0,0,0,56,38,18
28,2020-04-08,7,0,0,0,0,63,38,25
29,2020-04-09,4,6,0,0,0,67,44,23
30,2020-04-10,2,1,0,0,0,69,45,24
31,2020-04-11,4,8,0,0,0,73,53,20
32,2020-04-12,1,0,0,0,0,74,53,21
33,2020-04-13,2,7,0,0,0,76,60,16
34,2020-04-14,0,0,0,0,0,76,60,16
35,2020-04-15,0,0,0,0,0,76,60,16
36,2020-04-16,1,2,0,0,0,77,62,15
37,2020-04-17,1,3,0,0,0,78,65,13
38,2020-04-18,2,2,0,0,0,80,67,13
39,2020-04-19,1,2,0,0,0,81,69,12
40,2020-04-20,6,1,0,0,0,87,70,17
41,2020-04-21,2,2,0,0,0,89,72,17
42,2020-04-22,0,3,0,0,0,89,75,14
43,2020-04-23,0,2,0,0,0,89,77,12
44,2020-04-24,1,3,0,0,0,90,80,10
45,2020-04-25,0,1,0,0,0,90,81,9
46,2020-04-26,2,3,0,0,0,92,84,8
47,2020-04-27,0,0,0,0,0,92,84,8
48,2020-04-28,2,0,0,0,0,94,84,10
49,2020-04-29,1,0,0,0,0,95,84,11
50,2020-04-30,3,0,0,0,0,98,84,14
51,2020-05-01,0,2,0,0,0,98,86,12
52,2020-05-02,0,0,0,0,0,98,86,12
53,2020-05-03,0,1,0,0,0,98,87,11
54,2020-05-04,2,1,0,0,0,100,88,12
55,2020-05-05,3,0,0,0,0,103,88,15
56,2020-05-06,0,3,0,0,0,103,91,12
57,2020-05-07,0,1,0,0,0,103,92,11
58,2020-05-08,0,3,0,0,0,103,95,8
59,2020-05-09,2,0,0,0,0,105,95,10
60,2020-05-10,3,0,0,0,0,108,95,13
61,2020-05-11,0,1,0,0,0,108,96,12
62,2020-05-12,2,0,0,0,0,110,96,14
63,2020-05-13,0,1,0,0,0,110,97,13
64,2020-05-14,1,1,0,0,0,111,98,13
65,2020-05-15,0,0,0,0,0,111,98,13
66,2020-05-16,0,1,0,0,0,111,99,12
67,2020-05-17,0,1,0,0,0,111,100,11
68,2020-05-18,1,0,0,0,0,112,100,12
69,2020-05-19,1,3,0,0,0,113,103,10
70,2020-05-20,0,1,0,0,0,113,104,9
71,2020-05-21,3,2,0,0,0,116,106,10
72,2020-05-22,2,3,0,0,0,118,109,9
73,2020-05-23,3,0,0,0,0,121,109,12
74,2020-05-24,0,0,0,0,0,121,109,12
75,2020-05-25,1,2,0,0,0,122,111,11
76,2020-05-26,2,0,0,0,0,124,111,13
77,2020-05-27,3,1,0,0,0,127,112,15
78,2020-05-28,0,2,0,0,0,127,114,13
79,2020-05-29,0,2,0,0,0,127,116,11
80,2020-05-30,1,1,0,0,0,128,117,11
81,2020-05-31,1,1,0,0,0,129,118,11
82,2020-06-01,0,0,0,0,0,129,118,11
83,2020-06-02,2,3,0,0,0,131,121,10
84,2020-06-03,1,1,0,0,0,132,122,10
85,2020-06-04,0,4,0,0,0,132,126,6
86,2020-06-05,4,0,0,0,0,136,126,10
87,2020-06-06,2,0,0,0,0,138,126,12
88,2020-06-07,0,1,0,0,0,138,127,11
89,2020-06-08,2,3,0,0,0,140,130,10
90,2020-06-09,0,0,0,0,0,140,130,10
91,2020-06-10,3,1,0,0,0,143,131,12
92,2020-06-11,3,0,0,0,0,146,131,15
93,2020-06-12,4,3,0,0,0,150,134,16
94,2020-06-13,3,2,0,0,0,153,136,17
95,2020-06-14,1,0,0,0,0,154,136,18
96,2020-06-15,3,1,0,0,0,157,137,20
97,2020-06-16,0,3,0,0,0,157,140,17
98,2020-06-17,4,2,0,0,0,161,142,19
99,2020-06-18,3,4,0,0,0,164,146,18
100,2020-06-19,5,4,0,0,0,169,150,19
101,2020-06-20,5,3,0,0,0,174,153,21
102,2020-06-21,2,0,0,0,0,176,153,23
103,2020-06-22,7,5,0,0,0,183,158,25
104,2020-06-23,5,5,0,0,0,188,163,25
105,2020-06-24,6,1,0,0,0,194,164,30
106,2020-06-25,4,2,0,0,0,198,166,32
107,2020-06-26,9,9,0,0,0,207,175,32
108,2020-06-27,12,9,0,0,0,219,184,35
109,2020-06-28,8,2,0,0,0,227,186,41
110,2020-06-29,2,9,0,0,0,229,195,34
111,2020-06-30,11,8,0,0,0,240,203,37
112,2020-07-01,10,4,0,0,0,250,207,43
113,2020-07-02,5,7,0,0,0,255,214,41
114,2020-07-03,17,9,0,0,0,272,223,49
115,2020-07-04,11,9,0,0,0,283,232,51
116,2020-07-05,11,6,0,0,0,294,238,56
117,2020-07-06,20,7,0,0,0,314,245,69
118,2020-07-07,7,11,0,0,0,321,256,65
119,2020-07-08,22,8,0,0,0,343,264,79
120,2020-07-09,12,15,0,0,0,355,279,76
121,2020-07-10,19,9,0,0,0,374,288,86
122,2020-07-11,26,16,0,0,0,400,304,96
123,2020-07-12,10,14,0,0,0,410,318,92
124,2020-07-13,18,20,0,0,0,428,338,90
125,2020-07-14,19,19,0,0,0,447,357,90
126,2020-07-15,14,6,0,0,0,461,363,98
127,2020-07-16,19,23,0,0,0,480,386,94
128,2020-07-17,19,20,0,0,0,499,406,93
129,2020-07-18,10,11,0,0,0,509,417,92
130,2020-07-19,13,12,0,0,0,522,429,93
131,2020-07-20,20,13,0,0,0,542,442,100
132,2020-07-21,15,11,0,0,0,557,453,104
133,2020-07-22,9,11,0,0,0,566,464,102
134,2020-07-23,9,15,0,0,0,575,479,96
135,2020-07-24,11,6,0,0,0,586,485,101
136,2020-07-25,12,10,0,0,0,598,495,103
137,2020-07-26,16,11,0,0,0,614,506,108
138,2020-07-27,12,9,0,0,0,626,515,111
139,2020-07-28,14,20,0,0,0,640,535,105
140,2020-07-29,5,12,0,0,0,645,547,98
141,2020-07-30,7,21,0,0,0,652,568,84
142,2020-07-31,14,8,0,0,0,666,576,90
143,2020-08-01,5,8,0,0,0,671,584,87
144,2020-08-02,5,7,0,0,0,676,591,85
145,2020-08-03,13,12,0,0,0,689,603,86
146,2020-08-04,6,18,0,0,0,695,621,74
147,2020-08-05,10,8,0,0,0,705,629,76
148,2020-08-06,7,7,0,0,0,712,636,76
149,2020-08-07,10,11,0,0,0,722,647,75
150,2020-08-08,6,7,0,0,0,728,654,74
151,2020-08-09,5,7,0,0,0,733,661,72
152,2020-08-10,15,9,0,0,0,748,670,78
153,2020-08-11,6,20,0,0,0,754,690,64
154,2020-08-12,7,12,0,0,0,761,702,59
155,2020-08-13,8,10,0,0,0,769,712,57
156,2020-08-14,4,5,0,0,0,773,717,56
157,2020-08-15,9,3,0,0,0,782,720,62
158,2020-08-16,10,7,0,0,0,792,727,65
159,2020-08-17,9,11,0,0,0,801,738,63
160,2020-08-18,10,10,0,0,0,811,748,63
161,2020-08-19,10,9,0,0,0,821,757,64
162,2020-08-20,3,13,0,0,0,824,770,54
163,2020-08-21,4,7,0,0,0,828,777,51
164,2020-08-22,2,6,0,0,0,830,783,47
165,2020-08-23,6,4,0,0,0,836,787,49
166,2020-08-24,3,7,0,0,0,839,794,45
167,2020-08-25,8,6,0,0,0,847,800,47
168,2020-08-26,7,3,0,0,0,854,803,51
169,2020-08-27,5,4,0,0,0,859,807,52
170,2020-08-28,3,12,0,0,0,862,819,43
171,2020-08-29,3,8,0,0,0,865,827,38
172,2020-08-30,4,2,0,0,0,869,829,40
173,2020-08-31,2,10,0,0,0,871,839,32
174,2020-09-01,2,4,0,0,0,873,843,30
175,2020-09-02,2,3,0,0,0,875,846,29
176,2020-09-03,5,4,0,0,0,880,850,30
177,2020-09-04,2,3,0,0,11,882,853,29
178,2020-09-05,1,2,0,0,11,883,855,28
179,2020-09-06,0,4,0,0,10,883,859,24
180,2020-09-07,1,4,0,0,10,884,863,21
181,2020-09-08,4,3,0,0,10,888,866,22
182,2020-09-09,2,2,0,0,10,890,868,22
183,2020-09-10,4,3,0,0,11,894,871,23
184,2020-09-11,3,8,0,0,10,897,879,18
185,2020-09-12,1,3,0,0,8,898,882,16
186,2020-09-13,0,2,0,0,7,898,884,14
187,2020-09-14,5,4,0,0,7,903,888,15
188,2020-09-15,4,1,0,0,6,907,889,18
189,2020-09-16,4,0,0,0,6,911,889,22
190,2020-09-17,2,3,0,0,6,913,892,21
191,2020-09-18,5,3,0,0,6,918,895,23
192,2020-09-19,3,3,0,0,6,921,898,23
193,2020-09-20,1,3,0,0,5,922,901,21
194,2020-09-21,1,6,0,0,5,923,907,16
195,2020-09-22,0,5,0,0,4,923,912,11
196,2020-09-23,3,0,0,0,4,926,912,14
197,2020-09-24,2,2,0,0,4,928,914,14
198,2020-09-25,2,2,0,0,4,930,916,14
199,2020-09-26,5,4,0,0,4,935,920,15
200,2020-09-27,1,4,0,0,3,936,924,12
201,2020-09-28,3,1,0,0,3,939,925,14
202,2020-09-29,1,3,0,0,3,940,928,12
203,2020-09-30,5,2,0,0,4,945,930,15
204,2020-10-01,2,2,0,0,4,947,932,15
205,2020-10-02,2,3,0,0,2,949,935,14
206,2020-10-03,2,1,0,0,2,951,936,15
207,2020-10-04,5,2,0,0,2,956,938,18
208,2020-10-05,3,2,0,0,3,959,940,19
209,2020-10-06,8,3,0,0,3,967,943,24
210,2020-10-07,4,5,0,0,3,971,948,23
211,2020-10-08,4,0,0,0,3,975,948,27
212,2020-10-09,1,8,0,0,3,976,956,20
213,2020-10-10,3,3,0,0,4,979,959,20
214,2020-10-11,8,1,0,0,4,987,960,27
215,2020-10-12,3,7,0,0,4,990,967,23
216,2020-10-13,4,3,0,0,4,994,970,24
217,2020-10-14,2,5,0,0,4,996,975,21
218,2020-10-15,0,5,0,0,4,996,980,16
219,2020-10-16,2,2,0,0,6,998,982,16
220,2020-10-17,3,1,0,0,5,1001,983,18
221,2020-10-18,3,2,0,0,5,1004,985,19
222,2020-10-19,4,6,0,0,6,1008,991,17
223,2020-10-20,3,1,0,0,6,1011,992,19
224,2020-10-21,4,3,0,0,7,1015,995,20
225,2020-10-22,4,0,0,0,7,1019,995,24
226,2020-10-23,9,2,0,0,8,1028,997,31
227,2020-10-24,4,2,0,0,9,1032,999,33
228,2020-10-25,3,0,0,0,9,1035,999,36
229,2020-10-26,3,4,0,0,9,1038,1003,35
230,2020-10-27,5,8,0,0,8,1043,1011,32
231,2020-10-28,3,5,0,0,8,1046,1016,30
232,2020-10-29,1,4,0,0,7,1047,1020,27
233,2020-10-30,3,4,0,0,8,1050,1024,26
234,2020-10-31,4,4,0,0,7,1054,1028,26
235,2020-11-01,3,3,0,0,7,1057,1031,26
236,2020-11-02,2,6,0,0,8,1059,1037,22
237,2020-11-03,6,3,0,0,9,1065,1040,25
238,2020-11-04,5,2,0,0,9,1070,1042,28
239,2020-11-05,1,2,0,0,9,1071,1044,27
240,2020-11-06,3,4,0,0,10,1074,1048,26
241,2020-11-07,2,2,0,0,9,1076,1050,26
242,2020-11-08,2,2,0,0,9,1078,1052,26
243,2020-11-09,5,6,0,0,9,1083,1058,25
244,2020-11-10,7,1,0,0,10,1090,1059,31
245,2020-11-11,3,1,0,0,10,1093,1060,33
246,2020-11-12,5,3,0,0,10,1098,1063,35
247,2020-11-13,5,4,0,0,12,1103,1067,36
248,2020-11-14,9,2,0,0,12,1112,1069,43
249,2020-11-15,3,3,0,0,13,1115,1072,43
250,2020-11-16,3,6,0,0,13,1118,1078,40
251,2020-11-17,6,7,0,0,13,1124,1085,39
252,2020-11-18,2,3,0,0,13,1126,1088,38
253,2020-11-19,10,8,0,0,14,1136,1096,40
254,2020-11-20,5,6,0,0,13,1141,1102,39
255,2020-11-21,7,3,0,0,13,1148,1105,43
256,2020-11-22,7,5,0,0,13,1155,1110,45
257,2020-11-23,11,9,0,0,13,1166,1119,47
258,2020-11-24,7,8,0,0,13,1173,1127,46
259,2020-11-25,6,4,0,0,12,1179,1131,48
260,2020-11-26,2,8,0,0,12,1181,1139,42
261,2020-11-27,7,4,0,0,11,1188,1143,45
262,2020-11-28,6,9,0,0,11,1194,1152,42
263,2020-11-29,4,2,0,0,10,1198,1154,44
264,2020-11-30,7,9,0,0,10,1205,1163,42
265,2020-12-01,6,4,0,0,10,1211,1167,44
266,2020-12-02,11,9,0,0,11,1222,1176,46
267,2020-12-03,14,6,0,0,11,1236,1182,54
268,2020-12-04,8,5,0,0,12,1244,1187,57
269,2020-12-05,7,5,0,0,12,1251,1192,59
270,2020-12-06,2,4,0,0,12,1253,1196,57
271,2020-12-07,8,12,0,0,13,1261,1208,53
272,2020-12-08,2,13,0,0,13,1263,1221,42
273,2020-12-09,6,6,0,0,12,1269,1227,42
274,2020-12-10,9,8,0,0,13,1278,1235,43
275,2020-12-11,15,6,0,0,13,1293,1241,52
276,2020-12-12,11,4,0,0,13,1304,1245,59
277,2020-12-13,1,4,0,0,12,1305,1249,56
278,2020-12-14,15,10,0,0,13,1320,1259,61
279,2020-12-15,7,14,0,0,14,1327,1273,54
280,2020-12-16,6,9,0,0,14,1333,1282,51
281,2020-12-17,6,7,0,0,13,1339,1289,50
282,2020-12-18,10,12,0,0,13,1349,1301,48
283,2020-12-19,11,4,0,0,15,1360,1305,55
284,2020-12-20,5,9,0,0,14,1365,1314,51
285,2020-12-21,7,4,0,0,13,1372,1318,54
286,2020-12-22,14,10,0,0,15,1386,1328,58
287,2020-12-23,3,7,0,0,15,1389,1335,54
288,2020-12-24,10,6,0,0,15,1399,1341,58
289,2020-12-25,10,3,0,0,16,1409,1344,65
290,2020-12-26,0,10,0,0,16,1409,1354,55
291,2020-12-27,9,10,0,0,15,1418,1364,54
292,2020-12-28,7,8,0,0,14,1425,1372,53
293,2020-12-29,7,10,0,0,14,1432,1382,50
294,2020-12-30,10,10,0,0,14,1442,1392,50
295,2020-12-31,4,4,0,0,13,1446,1396,50
296,2021-01-01,3,8,0,0,13,1449,1404,45
297,2021-01-02,14,5,0,0,13,1463,1409,54
298,2021-01-03,10,6,0,0,12,1473,1415,58
299,2021-01-04,12,11,0,0,13,1485,1426,59
300,2021-01-05,17,8,0,0,11,1502,1434,68
301,2021-01-06,9,13,0,0,12,1511,1447,64
302,2021-01-07,13,22,0,0,12,1524,1469,55
303,2021-01-08,22,7,0,0,10,1546,1476,70
304,2021-01-09,12,10,0,0,10,1558,1486,72
305,2021-01-10,9,10,0,0,9,1567,1496,71
306,2021-01-11,11,10,0,0,11,1578,1506,72
307,2021-01-12,19,19,0,0,12,1597,1525,72
308,2021-01-13,11,14,0,0,11,1608,1539,69
309,2021-01-14,12,8,0,0,13,1620,1547,73
310,2021-01-15,5,18,0,0,14,1625,1565,60
311,2021-01-16,5,9,0,0,14,1630,1574,56
312,2021-01-17,12,8,0,0,14,1642,1582,60
313,2021-01-18,14,8,0,0,14,1656,1590,66
314,2021-01-19,9,14,0,0,14,1665,1604,61
315,2021-01-20,10,11,0,0,14,1675,1615,60
316,2021-01-21,7,10,0,0,15,1682,1625,57
317,2021-01-22,5,7,0,0,16,1687,1632,55
318,2021-01-23,12,11,0,0,16,1699,1643,56
319,2021-01-24,7,3,0,0,17,1706,1646,60
320,2021-01-25,9,7,0,0,17,1715,1653,62
321,2021-01-26,4,15,0,0,17,1719,1668,51
322,2021-01-27,6,10,0,0,16,1725,1678,47
323,2021-01-28,11,7,0,0,15,1736,1685,51
324,2021-01-29,7,11,0,0,16,1743,1696,47
325,2021-01-30,7,7,0,0,15,1750,1703,47
326,2021-01-31,7,6,0,0,16,1757,1709,48
327,2021-02-01,9,8,0,0,16,1766,1717,49
328,2021-02-02,3,8,0,0,13,1769,1725,44
329,2021-02-03,8,10,0,0,13,1777,1735,42
330,2021-02-04,8,13,0,0,13,1785,1748,37
331,2021-02-05,7,1,0,0,13,1792,1749,43
332,2021-02-06,8,2,0,0,12,1800,1751,49
333,2021-02-07,3,3,0,0,12,1803,1754,49
334,2021-02-08,12,13,0,0,12,1815,1767,48
335,2021-02-09,8,10,0,0,11,1823,1777,46
336,2021-02-10,6,10,0,0,11,1829,1787,42
337,2021-02-11,10,7,0,0,11,1839,1794,45
338,2021-02-12,2,10,0,0,11,1841,1804,37
339,2021-02-13,4,6,0,0,12,1845,1810,35
340,2021-02-14,4,5,0,0,13,1849,1815,34
341,2021-02-15,4,8,0,0,13,1853,1823,30
342,2021-02-16,8,4,0,0,12,1861,1827,34
343,2021-02-17,10,6,0,0,11,1871,1833,38
344,2021-02-18,4,6,0,0,11,1875,1839,36
345,2021-02-19,11,3,0,0,10,1886,1842,44
346,2021-02-20,3,6,0,0,10,1889,1848,41
347,2021-02-21,9,3,0,0,10,1898,1851,47
348,2021-02-22,9,7,0,0,11,1907,1858,49
349,2021-02-23,5,12,0,0,11,1912,1870,42
350,2021-02-24,6,5,0,0,10,1918,1875,43
351,2021-02-25,6,11,0,0,10,1924,1886,38
352,2021-02-26,4,5,0,0,9,1928,1891,37
353,2021-02-27,5,5,0,0,9,1933,1896,37
354,2021-02-28,4,11,0,0,9,1937,1907,30
355,2021-03-01,3,6,0,0,9,1940,1913,27
356,2021-03-02,2,5,0,0,9,1942,1918,24
357,2021-03-03,5,7,0,0,8,1947,1925,22
358,2021-03-04,6,3,0,0,8,1953,1928,25
359,2021-03-05,3,7,0,0,8,1956,1935,21
360,2021-03-06,9,2,0,0,8,1965,1937,28
361,2021-03-07,3,2,0,0,8,1968,1939,29
362,2021-03-08,7,8,0,0,8,1975,1947,28
363,2021-03-09,9,5,0,0,8,1984,1952,32
364,2021-03-10,3,4,0,0,7,1987,1956,31
365,2021-03-11,3,7,0,0,7,1990,1963,27
366,2021-03-12,3,4,0,0,6,1993,1967,26
367,2021-03-13,8,2,0,0,7,2001,1969,32
368,2021-03-14,4,3,0,0,6,2005,1972,33
369,2021-03-15,6,6,0,0,7,2011,1978,33
370,2021-03-16,4,9,0,0,6,2015,1987,28
371,2021-03-17,3,10,0,0,6,2018,1997,21
372,2021-03-18,3,4,0,0,5,2021,2001,20
373,2021-03-19,9,7,0,0,6,2030,2008,22
374,2021-03-20,4,0,0,0,6,2034,2008,26
375,2021-03-21,8,5,0,0,7,2042,2013,29
376,2021-03-22,4,6,0,0,8,2046,2019,27
377,2021-03-23,8,6,0,0,9,2054,2025,29
378,2021-03-24,6,4,0,0,7,2060,2029,31
379,2021-03-25,6,7,0,0,7,2066,2036,30
380,2021-03-26,3,4,0,0,7,2069,2040,29
381,2021-03-27,4,2,0,0,7,2073,2042,31
382,2021-03-28,6,5,0,0,8,2079,2047,32
383,2021-03-29,9,7,0,0,8,2088,2054,34
384,2021-03-30,5,2,0,0,6,2093,2056,37
385,2021-03-31,8,7,0,0,6,2101,2063,38
386,2021-04-01,0,9,0,0,6,2101,2072,29
387,2021-04-02,3,5,0,0,4,2104,2077,27
388,2021-04-03,3,5,0,0,4,2107,2082,25
389,2021-04-04,4,7,0,0,4,2111,2089,22
